,CarModel,AgeOfCar,Price,OdoMeterReading,Fuel_Type,DealingType,GearSystem,NoOfOwners,CarCompany,Scalled_Price,Scaled_OdoMeterReading,Fuel_Type_le,DealingType_le,GearSystem_le,NoOfOwners_le,CarCompany_le
0,Ford Figo Aspire 1.5 TDCi Trend,8,574998.75,152620,Diesel,Broker,Manual,First Owner,Ford,0.04954943693693693,1.7668625596754624,1,0,1,0,8
1,Mahindra Scorpio SLE BSIV,11,656250.0,149000,Diesel,Direct Owner,Manual,First Owner,Mahindra,0.056869369369369364,1.6892446626099855,1,1,1,0,17
2,Tata Manza Club Class Quadrajet90 LS,9,250000.0,104000,Diesel,Direct Owner,Manual,First Owner,Tata,0.020270270270270268,0.7243813012988068,1,1,1,0,25
3,Toyota Corolla Altis 1.8 VL AT,13,437500.0,84000,Petrol,Direct Owner,Automatic,Third Owner,Toyota,0.037162162162162164,0.2955531407160608,4,1,0,4,26
4,Tata Indigo CS eLS BS IV,12,225000.0,124000,Diesel,Direct Owner,Manual,First Owner,Tata,0.018018018018018014,1.153209461881553,1,1,1,0,25
5,Skoda Octavia Classic 1.9 TDI MT,19,150000.0,124000,Diesel,Direct Owner,Manual,Second Owner,Skoda,0.01126126126126126,1.153209461881553,1,1,1,2,24
6,Ford Ecosport 1.0 Ecoboost Titanium Optional,10,437500.0,104000,Petrol,Direct Owner,Manual,First Owner,Ford,0.037162162162162164,0.7243813012988068,4,1,1,0,8
7,Hyundai Getz 1.5 CRDi GVS,15,293750.0,64208,Diesel,Broker,Manual,First Owner,Hyundai,0.024211711711711707,-0.12881520699662463,1,0,1,0,10
8,Maruti Alto 800 Base,9,218750.0,44000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.017454954954954954,-0.5621031804494312,4,1,1,0,18
9,Datsun GO T BSIV,9,350000.0,44000,Petrol,Direct Owner,Manual,First Owner,Datsun,0.029279279279279275,-0.5621031804494312,4,1,1,0,5
10,Maruti Swift Dzire AMT ZXI Plus BS IV,6,887500.0,12000,Petrol,Direct Owner,Automatic,First Owner,Maruti,0.07770270270270269,-1.2482282373818248,4,1,0,0,18
11,Ford Figo Diesel Celebration Edition,10,325000.0,69000,Diesel,Direct Owner,Manual,First Owner,Ford,0.027027027027027025,-0.02606797972099868,1,1,1,0,8
12,Hyundai Santro Magna AMT BSIV,4,500000.0,20000,Petrol,Direct Owner,Automatic,First Owner,Hyundai,0.04279279279279279,-1.0766969731487264,4,1,0,0,10
13,Honda City i DTEC VX,9,750000.0,104000,Diesel,Direct Owner,Manual,First Owner,Honda,0.0653153153153153,0.7243813012988068,1,1,1,0,9
14,Renault Duster 110PS Diesel RxZ,11,612500.0,104000,Diesel,Direct Owner,Manual,First Owner,Renault,0.05292792792792793,0.7243813012988068,1,1,1,0,23
15,Skoda Laura L n K 1.9 PD,17,437500.0,104000,Diesel,Direct Owner,Manual,First Owner,Skoda,0.037162162162162164,0.7243813012988068,1,1,1,0,24
16,Mitsubishi Pajero Sport 4X4,11,1362500.0,124000,Diesel,Direct Owner,Manual,Second Owner,Mitsubishi,0.12049549549549549,1.153209461881553,1,1,1,2,20
17,Maruti Alto K10 LXI CNG,3,352500.0,44000,CNG,Direct Owner,Manual,First Owner,Maruti,0.029504504504504498,-0.5621031804494312,0,1,1,0,18
18,Maruti Swift Dzire ZXI,8,768750.0,114000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.0670045045045045,0.9387953815901798,4,1,1,2,18
19,Maruti Swift VXI,10,593750.0,64000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.051238738738738736,-0.1332750198666852,4,1,1,2,18
20,Maruti Ritz VDi,12,187500.0,44000,Diesel,Direct Owner,Manual,Second Owner,Maruti,0.014639639639639638,-0.5621031804494312,1,1,1,2,18
21,Maruti Ignis 1.2 Alpha BSIV,6,625000.0,13161,Petrol,Direct Owner,Manual,First Owner,Maruti,0.05405405405405405,-1.2233347626599964,4,1,1,0,18
22,Hyundai Santro Xing XS,14,187500.0,72000,Petrol,Direct Owner,Manual,Second Owner,Hyundai,0.014639639639639638,0.03825624436641322,4,1,1,2,10
23,Hyundai Grand i10 1.2 CRDi Magna,8,437500.0,65658,Diesel,Broker,Manual,First Owner,Hyundai,0.037162162162162164,-0.09772516535437555,1,0,1,0,10
24,Datsun RediGO T Option,7,287498.75,41500,Petrol,Direct Owner,Manual,Second Owner,Datsun,0.023648536036036033,-0.6157067005222745,4,1,1,2,5
25,Honda City i DTEC V,9,643750.0,94000,Diesel,Direct Owner,Manual,Second Owner,Honda,0.05574324324324324,0.5099672210074339,1,1,1,2,9
26,Nissan Micra XL,9,262500.0,44000,Petrol,Direct Owner,Manual,Second Owner,Nissan,0.021396396396396393,-0.5621031804494312,4,1,1,2,21
27,Mahindra XUV500 W8 4WD,11,812500.0,80290,Diesel,Broker,Manual,First Owner,Mahindra,0.07094594594594594,0.21600551692796144,1,0,1,0,17
28,Hyundai Verna CRDi 1.6 AT EX,5,1375000.0,29000,Diesel,Direct Owner,Automatic,Second Owner,Hyundai,0.12162162162162161,-0.8837243008864907,1,1,0,2,10
29,Maruti Wagon R LXI,22,87500.0,121000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.00563063063063063,1.088885237794141,4,1,1,2,18
30,Mahindra XUV500 W8 2WD,9,937500.0,104000,Diesel,Direct Owner,Manual,Second Owner,Mahindra,0.0822072072072072,0.7243813012988068,1,1,1,2,17
31,Maruti Ritz VDi,11,137500.0,84000,Diesel,Direct Owner,Manual,Second Owner,Maruti,0.010135135135135134,0.2955531407160608,1,1,1,2,18
32,Maruti Swift DDiS LDI,7,687500.0,58000,Diesel,Broker,Manual,First Owner,Maruti,0.059684684684684686,-0.261923468041509,1,0,1,0,18
33,Mahindra Xylo H4 ABS,7,1062500.0,44000,Diesel,Direct Owner,Manual,First Owner,Mahindra,0.09346846846846846,-0.5621031804494312,1,1,1,0,17
34,Maruti Alto 800 LXI,4,237500.0,9000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.019144144144144143,-1.3125524614692368,4,1,1,0,18
35,Maruti Wagon R Stingray VXI,9,375000.0,79000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.03153153153153153,0.18834610057037432,4,1,1,0,18
36,Ford Aspire Titanium Plus Diesel BSIV,5,1077498.75,24000,Diesel,Broker,Manual,First Owner,Ford,0.0948197072072072,-0.9909313410321773,1,0,1,0,8
37,Maruti Zen Estilo LXI BSIII,15,131250.0,44000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.009572072072072071,-0.5621031804494312,4,1,1,0,18
38,Maruti Swift Dzire VDI,4,850000.0,44000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.07432432432432431,-0.5621031804494312,1,1,1,0,18
39,Volkswagen Polo GTI,6,1062500.0,24000,Petrol,Broker,Automatic,Second Owner,Volkswagen,0.09346846846846846,-0.9909313410321773,4,0,0,2,27
40,Hyundai Santro Xing XL eRLX Euro III,17,125000.0,64000,Petrol,Broker,Manual,Second Owner,Hyundai,0.009009009009009009,-0.1332750198666852,4,0,1,2,10
41,Maruti Celerio VDi,7,300000.0,94000,Diesel,Direct Owner,Manual,Third Owner,Maruti,0.02477477477477477,0.5099672210074339,1,1,1,4,18
42,Tata Manza Aura Quadrajet BS IV,11,313748.75,39000,Diesel,Direct Owner,Manual,Second Owner,Tata,0.026013400900900898,-0.6693102205951177,1,1,1,2,25
43,Maruti Alto 800 LXI,11,250000.0,94000,Petrol,Direct Owner,Manual,Third Owner,Maruti,0.020270270270270268,0.5099672210074339,4,1,1,4,18
44,Hyundai Grand i10 Magna,8,400000.0,74000,Petrol,Direct Owner,Manual,Second Owner,Hyundai,0.033783783783783786,0.08113906042468783,4,1,1,2,10
45,Chevrolet Cruze LT,12,437500.0,78000,Diesel,Direct Owner,Manual,Second Owner,Chevrolet,0.037162162162162164,0.16690469254123702,1,1,1,2,3
46,Maruti Ciaz VXi,8,687500.0,73782,Petrol,Broker,Manual,First Owner,Maruti,0.059684684684684686,0.0764648334743359,4,0,1,0,18
47,Toyota Innova 2.5 VX (Diesel) 7 Seater,10,1187500.0,84000,Diesel,Direct Owner,Manual,Third Owner,Toyota,0.10472972972972971,0.2955531407160608,1,1,1,4,26
49,Mahindra Thar CRDe,5,1187500.0,24000,Diesel,Direct Owner,Manual,First Owner,Mahindra,0.10472972972972971,-0.9909313410321773,1,1,1,0,17
50,Maruti Ritz VDi,11,312500.0,114000,Diesel,Direct Owner,Manual,Fourth & Above Owner,Maruti,0.025900900900900897,0.9387953815901798,1,1,1,1,18
51,Maruti Swift ZXi BSIV,6,687500.0,42000,Petrol,Broker,Manual,First Owner,Maruti,0.059684684684684686,-0.6049859965077058,4,0,1,0,18
52,Maruti Wagon R VXI BS IV with ABS,9,362500.0,68000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.030405405405405404,-0.04750938775013598,4,1,1,2,18
54,Tata Zest Quadrajet 1.3 XM,8,500000.0,104000,Diesel,Direct Owner,Manual,First Owner,Tata,0.04279279279279279,0.7243813012988068,1,1,1,0,25
55,Nissan Micra Active XV S,10,205000.0,34000,Petrol,Direct Owner,Manual,First Owner,Nissan,0.016216216216216214,-0.7765172607408042,4,1,1,0,21
56,Hyundai Verna CRDi SX,15,287498.75,150000,Diesel,Direct Owner,Manual,Third Owner,Hyundai,0.023648536036036033,1.7106860706391227,1,1,1,4,10
58,Honda Brio V MT,9,531250.0,33654,Petrol,Trustmark Broker,Manual,First Owner,Honda,0.04560810810810811,-0.7839359879188857,4,2,1,0,9
59,Maruti Alto K10 VXI,8,331250.0,64000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.027590090090090086,-0.1332750198666852,4,1,1,0,18
60,Ford EcoSport 1.5 TDCi Titanium BSIV,5,1187500.0,25394,Diesel,Broker,Manual,First Owner,Ford,0.10472972972972971,-0.9610420182395598,1,0,1,0,8
62,Ford Aspire Titanium Diesel BSIV,7,750000.0,159201,Diesel,Broker,Manual,First Owner,Ford,0.0653153153153153,1.907968465915215,1,0,1,0,8
64,Maruti Celerio VXI,6,537500.0,97000,Petrol,Broker,Manual,First Owner,Maruti,0.04617117117117117,0.5742914450948458,4,0,1,0,18
65,Maruti Alto LXi,17,75000.0,104000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.004504504504504504,0.7243813012988068,4,1,1,2,18
67,Maruti Swift ZDi,11,437500.0,59000,Diesel,Broker,Manual,First Owner,Maruti,0.037162162162162164,-0.24048206001237168,1,0,1,0,18
68,Volkswagen Polo Diesel Trendline 1.2L,11,331250.0,59000,Diesel,Direct Owner,Manual,Second Owner,Volkswagen,0.027590090090090086,-0.24048206001237168,1,1,1,2,27
69,Mahindra Scorpio 2.6 SLX CRDe,17,375000.0,124000,Diesel,Direct Owner,Manual,Second Owner,Mahindra,0.03153153153153153,1.153209461881553,1,1,1,2,17
70,Hyundai Verna CRDi 1.6 SX Option,5,1437500.0,30430,Diesel,Broker,Manual,First Owner,Hyundai,0.12725225225225223,-0.8530630874048244,1,0,1,0,10
71,Ford Figo Diesel Titanium,11,531250.0,85632,Diesel,Broker,Manual,First Owner,Ford,0.04560810810810811,0.3305455186196129,1,0,1,0,8
72,Nissan Terrano XL Plus 85 PS,8,563750.0,104000,Diesel,Direct Owner,Manual,First Owner,Nissan,0.04853603603603603,0.7243813012988068,1,1,1,0,21
73,Maruti Ertiga 1.5 VDI,3,687500.0,94000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.059684684684684686,0.5099672210074339,1,1,1,0,18
74,Mahindra Scorpio 2.6 CRDe SLE,10,375000.0,74000,Diesel,Direct Owner,Manual,Second Owner,Mahindra,0.03153153153153153,0.08113906042468783,1,1,1,2,17
75,Chevrolet Spark 1.0 LS,11,167500.0,94000,Petrol,Direct Owner,Manual,Second Owner,Chevrolet,0.012837837837837837,0.5099672210074339,4,1,1,2,3
76,Hyundai Grand i10 1.2 Kappa Magna AT,6,687500.0,23890,Petrol,Broker,Automatic,First Owner,Hyundai,0.059684684684684686,-0.9932898959153823,4,0,0,0,10
77,Skoda Fabia 1.2 MPI Ambition Plus,11,375000.0,54000,Petrol,Direct Owner,Manual,First Owner,Skoda,0.03153153153153153,-0.3476891001580582,4,1,1,0,24
78,Hyundai i10 Era,10,331250.0,54000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.027590090090090086,-0.3476891001580582,4,1,1,0,10
81,Maruti Swift VDI BSIV,9,487500.0,94000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.041666666666666664,0.5099672210074339,1,1,1,0,18
82,Tata New Safari DICOR 2.2 GX 4x2 BS IV,11,337500.0,84000,Diesel,Direct Owner,Manual,Second Owner,Tata,0.02815315315315315,0.2955531407160608,1,1,1,2,25
83,Maruti Alto 800 CNG LXI Optional,4,375000.0,124000,CNG,Direct Owner,Manual,First Owner,Maruti,0.03153153153153153,1.153209461881553,0,1,1,0,18
84,Maruti Eeco 5 Seater AC BSIV,6,325000.0,34000,Petrol,Broker,Manual,First Owner,Maruti,0.027027027027027025,-0.7765172607408042,4,0,1,0,18
85,Maruti Ciaz 1.4 Alpha,5,1156250.0,26000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.1019144144144144,-0.9480485249739027,4,1,1,0,18
86,Ford Figo 1.5D Titanium MT,6,750000.0,39122,Diesel,Broker,Manual,First Owner,Ford,0.0653153153153153,-0.666694368815563,1,0,1,0,8
87,Maruti Swift Dzire VDI,5,625000.0,54000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.05405405405405405,-0.3476891001580582,1,1,1,0,18
88,Honda Jazz 1.5 VX i DTEC,7,656250.0,39000,Diesel,Broker,Manual,First Owner,Honda,0.056869369369369364,-0.6693102205951177,1,0,1,0,9
89,Chevrolet Beat Diesel LT,10,216250.0,74000,Diesel,Direct Owner,Manual,First Owner,Chevrolet,0.017229729729729727,0.08113906042468783,1,1,1,0,3
90,Hyundai EON D Lite,7,262500.0,34000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.021396396396396393,-0.7765172607408042,4,1,1,0,10
91,Maruti Ertiga SHVS VDI,6,1112500.0,64000,Diesel,Direct Owner,Manual,Second Owner,Maruti,0.09797297297297296,-0.1332750198666852,1,1,1,2,18
92,Maruti SX4 ZDI Leather,11,500000.0,64000,Diesel,Direct Owner,Manual,Second Owner,Maruti,0.04279279279279279,-0.1332750198666852,1,1,1,2,18
93,Hyundai EON Magna Plus Option,5,400000.0,29000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.033783783783783786,-0.8837243008864907,4,1,1,0,10
94,Renault Fluence 1.5,10,562500.0,64000,Diesel,Direct Owner,Manual,First Owner,Renault,0.04842342342342342,-0.1332750198666852,1,1,1,0,23
95,Ford Figo Diesel Titanium,12,237500.0,94000,Diesel,Direct Owner,Manual,Third Owner,Ford,0.019144144144144143,0.5099672210074339,1,1,1,4,8
96,Ford Endeavour Titanium 4X2,12,750000.0,153674,Diesel,Broker,Manual,Second Owner,Ford,0.0653153153153153,1.789461803738173,1,0,1,2,8
97,Hyundai i10 Magna 1.1,15,150000.0,94000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.01126126126126126,0.5099672210074339,4,1,1,0,10
98,Maruti Wagon R VXI BS IV,9,262500.0,74000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.021396396396396393,0.08113906042468783,4,1,1,2,18
99,Hyundai Getz GLS ABS,18,88750.0,26000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.0057432432432432436,-0.9480485249739027,4,1,1,0,10
100,Maruti Alto LXi,15,137500.0,94000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.010135135135135134,0.5099672210074339,4,1,1,2,18
101,Honda Civic 1.8 S MT,16,287498.75,74000,Petrol,Direct Owner,Manual,Second Owner,Honda,0.023648536036036033,0.08113906042468783,4,1,1,2,9
102,Maruti Ertiga ZDI,9,831250.0,63110,Diesel,Broker,Manual,First Owner,Maruti,0.07263513513513513,-0.15235787301261738,1,0,1,0,18
103,Maruti Alto 800 LXI,9,225000.0,60207,Petrol,Broker,Manual,Second Owner,Maruti,0.018018018018018014,-0.21460228052120298,4,0,1,2,18
104,Maruti Alto K10 2010-2014 VXI,12,250000.0,44000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.020270270270270268,-0.5621031804494312,4,1,1,0,18
105,Maruti Swift VDI BSIV,8,600000.0,144000,Diesel,Direct Owner,Manual,Third Owner,Maruti,0.0518018018018018,1.582037622464299,1,1,1,4,18
106,Ford Fiesta Titanium 1.5 TDCi,12,406250.0,104000,Diesel,Direct Owner,Manual,Second Owner,Ford,0.03434684684684685,0.7243813012988068,1,1,1,2,8
108,Hyundai EON 1.0 Era Plus,6,350000.0,32838,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.029279279279279275,-0.8014321768706618,4,1,1,0,10
109,Maruti Zen LXi - BS III,18,156250.0,38000,Petrol,Broker,Manual,First Owner,Maruti,0.011824324324324323,-0.690751628624255,4,0,1,0,18
110,Maruti Omni CNG,16,56250.0,104000,CNG,Direct Owner,Manual,Fourth & Above Owner,Maruti,0.0028153153153153147,0.7243813012988068,0,1,1,1,18
111,Maruti Zen Estilo 1.1 VXI BSIII,15,150000.0,74000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.01126126126126126,0.08113906042468783,4,1,1,2,18
113,Honda Amaze S i-Dtech,9,526250.0,73000,Diesel,Broker,Manual,First Owner,Honda,0.045157657657657654,0.05969765239555053,1,0,1,0,9
114,Skoda Laura Ambiente 2.0 TDI CR MT,11,481250.0,56000,Diesel,Broker,Manual,First Owner,Skoda,0.0411036036036036,-0.3048062840997836,1,0,1,0,24
115,Maruti Eeco 7 Seater Standard BSIV,5,337500.0,24000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.02815315315315315,-0.9909313410321773,4,1,1,0,18
116,Maruti Baleno Zeta 1.3,7,750000.0,76000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.0653153153153153,0.12402187648296242,1,1,1,0,18
118,Maruti Swift VDI BSIV,6,637498.75,29000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.05518006756756757,-0.8837243008864907,1,1,1,0,18
119,Maruti Zen Estilo LX BSIV,13,112500.0,54000,Petrol,Direct Owner,Manual,Third Owner,Maruti,0.007882882882882882,-0.3476891001580582,4,1,1,4,18
120,Chevrolet Beat Diesel LT,7,437500.0,39000,Diesel,Direct Owner,Manual,Second Owner,Chevrolet,0.037162162162162164,-0.6693102205951177,1,1,1,2,3
121,Tata Tigor 1.2 Revotron XT,5,574998.75,44000,Petrol,Direct Owner,Manual,First Owner,Tata,0.04954943693693693,-0.5621031804494312,4,1,1,0,25
122,Maruti Wagon R LXI BS IV,10,400000.0,84000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.033783783783783786,0.2955531407160608,4,1,1,2,18
123,Fiat Linea Classic 1.3 Multijet,8,437500.0,134000,Diesel,Direct Owner,Manual,First Owner,Fiat,0.037162162162162164,1.367623542172926,1,1,1,0,6
124,Hyundai EON Era Plus,5,437500.0,24000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.037162162162162164,-0.9909313410321773,4,1,1,0,10
125,Mahindra TUV 300 mHAWK100 T8,6,1000000.0,29000,Diesel,Direct Owner,Manual,First Owner,Mahindra,0.08783783783783783,-0.8837243008864907,1,1,1,0,17
126,Renault Lodgy 85PS RxL,6,875000.0,64000,Diesel,Direct Owner,Manual,First Owner,Renault,0.07657657657657657,-0.1332750198666852,1,1,1,0,23
127,Honda Amaze E i-Dtech,8,375000.0,108000,Diesel,Direct Owner,Manual,Second Owner,Honda,0.03153153153153153,0.810146933415356,1,1,1,2,9
128,Hyundai i20 Active 1.4 SX,5,1024998.75,44000,Diesel,Direct Owner,Manual,First Owner,Hyundai,0.09008997747747746,-0.5621031804494312,1,1,1,0,10
129,Volkswagen Vento Diesel Highline,11,525000.0,94000,Diesel,Direct Owner,Manual,Second Owner,Volkswagen,0.04504504504504504,0.5099672210074339,1,1,1,2,27
130,Maruti Wagon R LXI,17,112500.0,66009,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.007882882882882882,-0.09019923113614835,4,1,1,2,18
131,Renault Koleos 2.0 Diesel,11,937500.0,84000,Diesel,Direct Owner,Automatic,Second Owner,Renault,0.0822072072072072,0.2955531407160608,1,1,0,2,23
132,Mahindra Scorpio S7 140 BSIV,5,1375000.0,24000,Diesel,Direct Owner,Manual,First Owner,Mahindra,0.12162162162162161,-0.9909313410321773,1,1,1,0,17
133,Volkswagen Vento IPL II Diesel Trendline,12,350000.0,114000,Diesel,Direct Owner,Manual,First Owner,Volkswagen,0.029279279279279275,0.9387953815901798,1,1,1,0,27
134,Maruti Swift ZDi BSIV,6,562500.0,74000,Diesel,Direct Owner,Manual,First Owner,Maruti,0.04842342342342342,0.08113906042468783,1,1,1,0,18
135,Hyundai EON Era Plus,8,312500.0,29000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.025900900900900897,-0.8837243008864907,4,1,1,0,10
136,Renault KWID Climber 1.0 AMT,6,375000.0,24000,Petrol,Direct Owner,Automatic,First Owner,Renault,0.03153153153153153,-0.9909313410321773,4,1,0,0,23
137,Hyundai Santro Xing XG eRLX Euro III,17,112500.0,124000,Petrol,Direct Owner,Manual,Second Owner,Hyundai,0.007882882882882882,1.153209461881553,4,1,1,2,10
138,Mahindra XUV500 W6 2WD,8,1031250.0,94000,Diesel,Direct Owner,Manual,Third Owner,Mahindra,0.09065315315315314,0.5099672210074339,1,1,1,4,17
139,Tata New Safari DICOR 2.2 GX 4x2 BS IV,11,400000.0,84000,Diesel,Direct Owner,Manual,First Owner,Tata,0.033783783783783786,0.2955531407160608,1,1,1,0,25
140,Tata Zest Quadrajet 1.3 75PS XE,8,437500.0,104000,Diesel,Direct Owner,Manual,Second Owner,Tata,0.037162162162162164,0.7243813012988068,1,1,1,2,25
141,Ford Fiesta Classic 1.4 Duratorq CLXI,11,562500.0,94165,Diesel,Broker,Manual,First Owner,Ford,0.04842342342342342,0.5135050533322415,1,0,1,0,8
142,Renault Duster 110PS Diesel RxL,8,581250.0,45123,Diesel,Broker,Manual,First Owner,Renault,0.050112612612612614,-0.53802447923271,1,0,1,0,23
143,Maruti Alto LX,17,187500.0,144300,Petrol,Direct Owner,Manual,First Owner,Maruti,0.014639639639639638,1.58847004487304,4,1,1,0,18
144,Honda City 1.5 GXI,18,81250.0,154000,Petrol,Direct Owner,Manual,Third Owner,Honda,0.005067567567567568,1.796451702755672,4,1,1,4,9
145,Mahindra Bolero SLX,12,437500.0,94000,Diesel,Direct Owner,Manual,Second Owner,Mahindra,0.037162162162162164,0.5099672210074339,1,1,1,2,17
146,Hyundai Santro GLS I - Euro I,18,93750.0,64000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.006193693693693693,-0.1332750198666852,4,1,1,0,10
147,Hyundai EON Era Plus,11,268750.0,74000,Petrol,Direct Owner,Manual,Second Owner,Hyundai,0.021959459459459457,0.08113906042468783,4,1,1,2,10
148,Hyundai Elite i20 Asta Option CVT BSIV,6,793750.0,29000,Petrol,Broker,Automatic,First Owner,Hyundai,0.06925675675675674,-0.8837243008864907,4,0,0,0,10
149,Mahindra Jeep CL 500 MDI,27,312500.0,39000,Diesel,Direct Owner,Manual,Second Owner,Mahindra,0.025900900900900897,-0.6693102205951177,1,1,1,2,17
150,Volkswagen Vento Diesel Highline,10,562500.0,124000,Diesel,Direct Owner,Manual,Second Owner,Volkswagen,0.04842342342342342,1.153209461881553,1,1,1,2,27
152,Mahindra XUV500 AT W8 FWD,8,925000.0,49000,Diesel,Broker,Automatic,First Owner,Mahindra,0.08108108108108107,-0.4548961403037447,1,0,0,0,17
153,Chevrolet Aveo U-VA 1.2 LS,14,262500.0,84000,Petrol,Direct Owner,Manual,Second Owner,Chevrolet,0.021396396396396393,0.2955531407160608,4,1,1,2,3
154,Hyundai i20 Magna Optional 1.2,10,425000.0,39000,Petrol,Direct Owner,Manual,First Owner,Hyundai,0.036036036036036036,-0.6693102205951177,4,1,1,0,10
155,Chevrolet Beat Diesel LS,11,225000.0,59130,Diesel,Broker,Manual,First Owner,Chevrolet,0.018018018018018014,-0.23769467696858385,1,0,1,0,3
156,Tata Harrier XE,3,532500.0,5000,Diesel,Direct Owner,Manual,First Owner,Tata,0.04572072072072072,-1.398318093585786,1,1,1,0,25
157,Maruti Alto 800 LX,7,187500.0,29000,Petrol,Direct Owner,Manual,Second Owner,Maruti,0.014639639639639638,-0.8837243008864907,4,1,1,2,18
158,Maruti Alto STD,14,90000.0,74000,Petrol,Direct Owner,Manual,First Owner,Maruti,0.005855855855855855,0.08113906042468783,4,1,1,0,18
